Poziom;Kategoria;English;Polski;English Sample;Translate English sample
B1;Podróże i turystyka;castle;zamek;They explored an old castle in Scotland.;Zwiedzali stary zamek w Szkocji.
B1;Podróże i turystyka;palace;pałac;The king lived in a beautiful palace.;Król mieszkał w pięknym pałacu.
B1;Podróże i turystyka;church;kościół;The village church is very old.;Kościół w wiosce jest bardzo stary.
B1;Podróże i turystyka;mosque;meczet;The mosque was full of people during prayer time.;Meczet był pełen ludzi w czasie modlitwy.
B1;Podróże i turystyka;temple;świątynia;They visited a Buddhist temple.;Odwiedzili buddyjską świątynię.
B1;Podróże i turystyka;souvenir;pamiątka;I bought a small souvenir for my sister.;Kupiłem małą pamiątkę dla mojej siostry.
B1;Podróże i turystyka;postcard;pocztówka;She sent me a postcard from Rome.;Ona wysłała mi pocztówkę z Rzymu.
B1;Podróże i turystyka;local cuisine;kuchnia lokalna;We tried the local cuisine in Greece.;Spróbowaliśmy kuchni lokalnej w Grecji.
B1;Podróże i turystyka;traditional dish;tradycyjna potrawa;Pierogi are a traditional dish in Poland.;Pierogi to tradycyjna potrawa w Polsce.
B1;Podróże i turystyka;travel agency;biuro podróży;We booked the trip at a travel agency.;Zarezerwowaliśmy wycieczkę w biurze podróży.
B1;Podróże i turystyka;package holiday;wakacje zorganizowane;Package holidays include flights and hotels.;Wakacje zorganizowane obejmują loty i hotele.
B1;Podróże i turystyka;insurance;ubezpieczenie;Travel insurance is very important.;Ubezpieczenie podróżne jest bardzo ważne.
B1;Podróże i turystyka;adventure holiday;wakacje przygodowe;They went on an adventure holiday in Africa.;Pojechali na wakacje przygodowe do Afryki.
B1;Podróże i turystyka;cruise;rejs;We went on a cruise around the Mediterranean.;Pojechaliśmy na rejs po Morzu Śródziemnym.
B1;Podróże i turystyka;safari;safari;They saw lions on their safari in Kenya.;Widzieli lwy na safari w Kenii.
B1;Podróże i turystyka;hiking;wędrówka;Hiking in the Alps is very popular.;Wędrówki po Alpach są bardzo popularne.
B1;Podróże i turystyka;backpacking;podróżowanie z plecakiem;He spent a year backpacking in Asia.;Spędził rok podróżując z plecakiem po Azji.
B1;Podróże i turystyka;guidebook;przewodnik książkowy;I always take a guidebook when I travel.;Zawsze zabieram przewodnik książkowy, gdy podróżuję.
B1;Podróże i turystyka;tour guide;przewodnik;Our tour guide told us many interesting facts.;Nasz przewodnik opowiedział nam wiele ciekawostek.
B1;Podróże i turystyka;map;mapa;The map helped us find the right street.;Mapa pomogła nam znaleźć właściwą ulicę.
B1;Podróże i turystyka;itinerary;plan podróży;The itinerary includes three cities.;Plan podróży obejmuje trzy miasta.
B1;Podróże i turystyka;resort;kurort;They stayed in a luxury resort in Spain.;Zatrzymali się w luksusowym kurorcie w Hiszpanii.
B1;Podróże i turystyka;beach;plaża;The beach was crowded with tourists.;Plaża była zatłoczona turystami.
B1;Podróże i turystyka;seaside;wybrzeże;We spent the weekend at the seaside.;Spędziliśmy weekend nad wybrzeżem.
B1;Podróże i turystyka;mountains;góry;They rented a cabin in the mountains.;Wynajęli chatkę w górach.
B1;Podróże i turystyka;valley;dolina;A river runs through the valley.;Przez dolinę płynie rzeka.
B1;Podróże i turystyka;forest;las;We got lost in the forest.;Zgubiliśmy się w lesie.
B1;Podróże i turystyka;lake;jezioro;They swam in a cold mountain lake.;Pływali w zimnym górskim jeziorze.
B1;Podróże i turystyka;river;rzeka;The river flows into the sea.;Rzeka wpada do morza.
B1;Podróże i turystyka;waterfall;wodospad;The waterfall was very beautiful.;Wodospad był bardzo piękny.
B1;Podróże i turystyka;cave;jaskinia;We explored a dark cave with a guide.;Zwiedzaliśmy ciemną jaskinię z przewodnikiem.
B1;Podróże i turystyka;admission fee;opłata za wstęp;The admission fee is five euros.;Opłata za wstęp wynosi pięć euro.
B1;Podróże i turystyka;entrance ticket;bilet wstępu;We bought entrance tickets online.;Kupiliśmy bilety wstępu online.
B1;Podróże i turystyka;currency exchange;kantor wymiany;There is a currency exchange near the hotel.;Obok hotelu jest kantor wymiany.
B1;Podróże i turystyka;local transport;transport lokalny;Local transport is cheap and easy to use.;Transport lokalny jest tani i łatwy w użyciu.
B1;Podróże i turystyka;bike rental;wypożyczalnia rowerów;We found a bike rental in the city centre.;Znaleźliśmy wypożyczalnię rowerów w centrum miasta.
B1;Podróże i turystyka;car hire;wynajem samochodu;Car hire is available at the airport.;Wynajem samochodów jest dostępny na lotnisku.
B1;Podróże i turystyka;travel blog;blog podróżniczy;She writes a popular travel blog.;Ona prowadzi popularny blog podróżniczy.
B1;Podróże i turystyka;journey time;czas podróży;The journey time was longer than expected.;Czas podróży był dłuższy niż się spodziewaliśmy.
B1;Podróże i turystyka;hotel review;recenzja hotelu;I wrote a hotel review on the website.;Napisałem recenzję hotelu na stronie internetowej.
B1;Podróże i turystyka;recommendation;rekomendacja;He gave me a recommendation for a good restaurant.;Dał mi rekomendację dobrej restauracji.
B1;Podróże i turystyka;emergency number;numer alarmowy;Call the emergency number in case of danger.;Zadzwoń na numer alarmowy w razie niebezpieczeństwa.
B1;Podróże i turystyka;lost property;biuro rzeczy znalezionych;I reported my lost bag at the lost property office.;Zgłosiłem moją zgubioną torbę w biurze rzeczy znalezionych.
B1;Podróże i turystyka;language barrier;bariera językowa;The language barrier made communication difficult.;Bariera językowa utrudniała komunikację.
B1;Podróże i turystyka;cultural differences;różnice kulturowe;We should respect cultural differences when we travel.;Powinniśmy szanować różnice kulturowe, gdy podróżujemy.
B1;Edukacja i praca;primary school;szkoła podstawowa;Children start learning to read in primary school.;Dzieci zaczynają uczyć się czytać w szkole podstawowej.
B1;Edukacja i praca;secondary school;szkoła średnia;She made many friends in secondary school.;Ona poznała wielu przyjaciół w szkole średniej.
B1;Edukacja i praca;high school;liceum;He joined the basketball team in high school.;On dołączył do drużyny koszykarskiej w liceum.
B1;Edukacja i praca;college;kolegium;She studied art at a local college.;Ona studiowała sztukę w lokalnym kolegium.
B1;Edukacja i praca;university;uniwersytet;He wants to go to university to study medicine.;On chce iść na uniwersytet, aby studiować medycynę.
B1;Edukacja i praca;student;student;The student asked a question during the lecture.;Student zadał pytanie podczas wykładu.
B1;Edukacja i praca;teacher;nauczyciel;The teacher explained the new grammar rule.;Nauczyciel wyjaśnił nową zasadę gramatyczną.
B1;Edukacja i praca;lecturer;wykładowca;The lecturer spoke about climate change.;Wykładowca mówił o zmianach klimatycznych.
B1;Edukacja i praca;professor;profesor;The professor is an expert in physics.;Profesor jest ekspertem w dziedzinie fizyki.
B1;Edukacja i praca;classroom;klasa;There are 25 desks in our classroom.;W naszej klasie jest 25 ławek.
B1;Edukacja i praca;lesson;lekcja;The English lesson starts at nine o’clock.;Lekcja angielskiego zaczyna się o dziewiątej.
B1;Edukacja i praca;subject;przedmiot;Math is my favourite subject at school.;Matematyka to mój ulubiony przedmiot w szkole.
B1;Edukacja i praca;maths;matematyka;She finds maths difficult but interesting.;Ona uważa matematykę za trudną, ale ciekawą.
B1;Edukacja i praca;science;nauki ścisłe;Science helps us understand the world.;Nauki ścisłe pomagają nam zrozumieć świat.
B1;Edukacja i praca;history;historia;I enjoy learning about ancient history.;Lubię uczyć się o historii starożytnej.
B1;Edukacja i praca;geography;geografia;In geography we learned about rivers and mountains.;Na geografii uczyliśmy się o rzekach i górach.
B1;Edukacja i praca;literature;literatura;She is writing an essay on English literature.;Ona pisze esej o literaturze angielskiej.
B1;Edukacja i praca;language;język;He speaks more than one foreign language.;On mówi w więcej niż jednym języku obcym.
B1;Edukacja i praca;foreign language;język obcy;Learning a foreign language is useful when travelling.;Nauka języka obcego jest przydatna w podróży.
B1;Edukacja i praca;exam;egzamin;The exam will take place next Monday.;Egzamin odbędzie się w następny poniedziałek.
B1;Edukacja i praca;test;test;She passed the test with a high score.;Ona zdała test z wysokim wynikiem.
B1;Edukacja i praca;homework;praca domowa;He always does his homework after dinner.;On zawsze odrabia pracę domową po kolacji.
B1;Edukacja i praca;assignment;zadanie;We have to finish the assignment by Friday.;Musimy skończyć zadanie do piątku.
B1;Edukacja i praca;project;projekt;They are working on a group project at school.;Oni pracują nad projektem grupowym w szkole.
B1;Edukacja i praca;presentation;prezentacja;Her presentation about the environment was excellent.;Jej prezentacja o środowisku była znakomita.
B1;Edukacja i praca;grade;ocena;He got the best grade in the class.;On dostał najlepszą ocenę w klasie.
B1;Edukacja i praca;mark;stopień;The teacher gave me a good mark for my essay.;Nauczyciel dał mi dobrą ocenę za mój esej.
B1;Edukacja i praca;result;wynik;The exam results will be announced tomorrow.;Wyniki egzaminu zostaną ogłoszone jutro.
B1;Edukacja i praca;diploma;dyplom;She received her diploma after finishing the course.;Ona otrzymała dyplom po ukończeniu kursu.
B1;Edukacja i praca;degree;stopień naukowy;He is studying for a degree in law.;On studiuje, aby uzyskać stopień naukowy z prawa.
B1;Edukacja i praca;certificate;certyfikat;I need a language certificate for my job application.;Potrzebuję certyfikatu językowego do podania o pracę.
B1;Edukacja i praca;qualification;kwalifikacja;She has the right qualifications for the position.;Ona ma odpowiednie kwalifikacje do tego stanowiska.
B1;Edukacja i praca;skill;umiejętność;Communication is an important skill at work.;Komunikacja to ważna umiejętność w pracy.
B1;Edukacja i praca;knowledge;wiedza;He has a lot of knowledge about computers.;On ma dużą wiedzę o komputerach.
B1;Edukacja i praca;ability;zdolność;Her ability to solve problems is impressive.;Jej zdolność do rozwiązywania problemów jest imponująca.
B1;Edukacja i praca;talent;talent;She has a talent for painting.;Ona ma talent do malowania.
B1;Edukacja i praca;job;praca;He got a new job in a bank.;On dostał nową pracę w banku.
B1;Edukacja i praca;occupation;zawód;What is your father’s occupation?;Jaki jest zawód twojego ojca?
B1;Edukacja i praca;profession;profesja;Medicine is a very demanding profession.;Medycyna to bardzo wymagająca profesja.
B1;Edukacja i praca;career;kariera;She hopes to have a career in journalism.;Ona ma nadzieję na karierę w dziennikarstwie.
B1;Edukacja i praca;employer;pracodawca;The employer offered better working conditions.;Pracodawca zaoferował lepsze warunki pracy.
B1;Edukacja i praca;employee;pracownik;Every employee must follow the safety rules.;Każdy pracownik musi przestrzegać zasad bezpieczeństwa.
B1;Edukacja i praca;colleague;kolega z pracy;My colleague helped me finish the project.;Mój kolega z pracy pomógł mi skończyć projekt.
B1;Edukacja i praca;teamwork;praca zespołowa;Teamwork is necessary for success.;Praca zespołowa jest konieczna do sukcesu.
B1;Edukacja i praca;meeting;spotkanie;We had a meeting with the manager yesterday.;Mieliśmy wczoraj spotkanie z kierownikiem.
B1;Edukacja i praca;conference;konferencja;He attended an international conference on health.;On uczestniczył w międzynarodowej konferencji o zdrowiu.
B1;Edukacja i praca;training;szkolenie;New employees must take part in training.;Nowi pracownicy muszą brać udział w szkoleniu.
B1;Edukacja i praca;interview;rozmowa kwalifikacyjna;She had a job interview last week.;Ona miała rozmowę kwalifikacyjną w zeszłym tygodniu.
B1;Edukacja i praca;CV;CV;He updated his CV before applying for the job.;On zaktualizował swoje CV przed aplikacją o pracę.
B1;Edukacja i praca;cover letter;list motywacyjny;A cover letter should explain why you want the job.;List motywacyjny powinien wyjaśniać, dlaczego chcesz tę pracę.
B1;Edukacja i praca;application;podanie;She sent her job application yesterday.;Ona wysłała swoje podanie o pracę wczoraj.
B1;Edukacja i praca;experience;doświadczenie;He has a lot of experience in sales.;On ma duże doświadczenie w sprzedaży.
B1;Edukacja i praca;promotion;awans;She got a promotion after two years of hard work.;Ona dostała awans po dwóch latach ciężkiej pracy.
B1;Edukacja i praca;salary;pensja;His salary is higher than mine.;Jego pensja jest wyższa niż moja.
B1;Edukacja i praca;wage;płaca;The wage depends on the hours you work.;Płaca zależy od liczby przepracowanych godzin.
B1;Edukacja i praca;bonus;premia;Employees get a Christmas bonus every year.;Pracownicy dostają premię świąteczną każdego roku.
B1;Edukacja i praca;contract;umowa;He signed a two-year contract with the company.;On podpisał dwuletnią umowę z firmą.
B1;Edukacja i praca;deadline;termin;The deadline for the project is next Friday.;Termin projektu przypada na następny piątek.
B1;Edukacja i praca;task;zadanie;This task is more difficult than the others.;To zadanie jest trudniejsze niż pozostałe.
B1;Edukacja i praca;responsibility;odpowiedzialność;Parents have responsibility for their children.;Rodzice ponoszą odpowiedzialność za swoje dzieci.
B1;Edukacja i praca;shift;zmiana;He works the night shift at the factory.;On pracuje na nocną zmianę w fabryce.
B1;Edukacja i praca;part-time job;praca na pół etatu;She has a part-time job in a shop.;Ona ma pracę na pół etatu w sklepie.
B1;Edukacja i praca;full-time job;praca na pełny etat;He prefers a full-time job with a stable income.;On woli pracę na pełny etat ze stałym dochodem.
B1;Edukacja i praca;freelancer;wolny strzelec;She works as a freelancer designing websites.;Ona pracuje jako wolny strzelec projektując strony internetowe.
B1;Edukacja i praca;internship;staż;He is doing an internship at a law firm.;On odbywa staż w kancelarii prawnej.
B1;Edukacja i praca;unemployment;bezrobocie;Unemployment is a big problem in many countries.;Bezrobocie jest dużym problemem w wielu krajach.
B1;Edukacja i praca;strike;strajk;The workers went on strike for better pay.;Pracownicy rozpoczęli strajk o lepsze wynagrodzenie.
B1;Edukacja i praca;pension;emerytura;My grandfather receives a state pension.;Mój dziadek otrzymuje państwową emeryturę.
B1;Media i komunikacja;newspaper;gazeta;He reads the newspaper every morning with breakfast.;On czyta gazetę każdego ranka przy śniadaniu.
B1;Media i komunikacja;magazine;czasopismo;She bought a fashion magazine at the station.;Ona kupiła czasopismo modowe na dworcu.
B1;Media i komunikacja;journal;czasopismo naukowe;The scientist published his research in a medical journal.;Naukowiec opublikował swoje badania w czasopiśmie medycznym.
B1;Media i komunikacja;article;artykuł;I read an interesting article about climate change.;Przeczytałem ciekawy artykuł o zmianach klimatu.
B1;Media i komunikacja;headline;nagłówek;The headline of the newspaper caught my attention.;Nagłówek gazety przyciągnął moją uwagę.
B1;Media i komunikacja;news;wiadomości;The evening news reported on the storm.;Wiadomości wieczorne mówiły o burzy.
B1;Media i komunikacja;advertisement;reklama;There was an advertisement for a new phone on TV.;W telewizji była reklama nowego telefonu.
B1;Media i komunikacja;commercial;spot reklamowy;The commercial made me want to try the product.;Spot reklamowy sprawił, że chciałem wypróbować ten produkt.
B1;Media i komunikacja;poster;plakat;They put up a poster for the concert on the wall.;Powiesili plakat koncertu na ścianie.
B1;Media i komunikacja;radio;radio;I like listening to music on the radio while driving.;Lubię słuchać muzyki w radiu podczas jazdy.
B1;Media i komunikacja;television;telewizja;They watched the football match on television.;Oni oglądali mecz piłki nożnej w telewizji.
B1;Media i komunikacja;channel;kanał;This channel shows only documentaries.;Ten kanał pokazuje tylko filmy dokumentalne.
B1;Media i komunikacja;program;program;What’s your favourite TV program?;Jaki jest twój ulubiony program telewizyjny?
B1;Media i komunikacja;episode;odcinek;I missed the last episode of the series.;Przegapiłem ostatni odcinek serialu.
B1;Media i komunikacja;series;serial;The new series is very popular among teenagers.;Nowy serial jest bardzo popularny wśród nastolatków.
B1;Media i komunikacja;documentary;film dokumentalny;We watched a documentary about wild animals.;Oglądaliśmy film dokumentalny o dzikich zwierzętach.
B1;Media i komunikacja;cartoon;film animowany;My little brother loves watching cartoons.;Mój młodszy brat uwielbia oglądać kreskówki.
B1;Media i komunikacja;reporter;reporter;The reporter asked difficult questions.;Reporter zadawał trudne pytania.
B1;Media i komunikacja;journalist;dziennikarz;The journalist wrote an article about the election.;Dziennikarz napisał artykuł o wyborach.
B1;Media i komunikacja;editor;redaktor;The editor corrected the mistakes in the article.;Redaktor poprawił błędy w artykule.
B1;Media i komunikacja;publisher;wydawca;The publisher released a new book last week.;Wydawca wydał nową książkę w zeszłym tygodniu.
B1;Media i komunikacja;interview;wywiad;The singer gave an interview to the local newspaper.;Piosenkarka udzieliła wywiadu lokalnej gazecie.
B1;Media i komunikacja;announcement;ogłoszenie;The school made an announcement about the holiday.;Szkoła zrobiła ogłoszenie o wakacjach.
B1;Media i komunikacja;press;prasa;The press often writes about celebrities.;Prasa często pisze o celebrytach.
B1;Media i komunikacja;blog;blog;She writes a travel blog with many photos.;Ona prowadzi blog podróżniczy z wieloma zdjęciami.
B1;Media i komunikacja;website;strona internetowa;I found this information on the official website.;Znalazłem tę informację na oficjalnej stronie internetowej.
B1;Media i komunikacja;homepage;strona główna;The homepage has a simple design.;Strona główna ma prosty wygląd.
B1;Media i komunikacja;link;link;Can you send me the link to that article?;Czy możesz wysłać mi link do tego artykułu?
B1;Media i komunikacja;email;e-mail;He received an email from his teacher.;On otrzymał e-mail od swojego nauczyciela.
B1;Media i komunikacja;letter;list;She wrote a long letter to her grandmother.;Ona napisała długi list do swojej babci.
B1;Media i komunikacja;message;wiadomość;I sent him a short message on my phone.;Wysłałem mu krótką wiadomość na telefon.
B1;Media i komunikacja;text message;SMS;She got a text message from her friend.;Ona dostała SMS od swojej koleżanki.
B1;Media i komunikacja;phone call;rozmowa telefoniczna;I made a phone call to the doctor.;Zadzwoniłem do lekarza.
B1;Media i komunikacja;social media;media społecznościowe;Social media can connect people around the world.;Media społecznościowe mogą łączyć ludzi na całym świecie.
B1;Media i komunikacja;post;post;He wrote a post about his holiday on Facebook.;On napisał post o swoich wakacjach na Facebooku.
B1;Media i komunikacja;comment;komentarz;She left a comment under my photo.;Ona zostawiła komentarz pod moim zdjęciem.
B1;Media i komunikacja;share;udostępnić;Please share this video with your friends.;Proszę udostępnij ten film swoim znajomym.
B1;Media i komunikacja;like;polubić;Many people liked my new profile picture.;Wiele osób polubiło moje nowe zdjęcie profilowe.
B1;Media i komunikacja;follow;obserwować;I decided to follow that travel blogger.;Postanowiłem obserwować tego blogera podróżniczego.
B1;Media i komunikacja;subscriber;subskrybent;The channel has over one million subscribers.;Kanał ma ponad milion subskrybentów.
B1;Media i komunikacja;hashtag;hashtag;She used a funny hashtag on Instagram.;Ona użyła zabawnego hashtagu na Instagramie.
B1;Media i komunikacja;notification;powiadomienie;I got a notification about a new message.;Dostałem powiadomienie o nowej wiadomości.
B1;Media i komunikacja;chat;czat;We had a chat online last night.;Rozmawialiśmy na czacie wczoraj wieczorem.
B1;Media i komunikacja;video call;rozmowa wideo;They had a video call with their family abroad.;Oni mieli rozmowę wideo ze swoją rodziną za granicą.
B1;Media i komunikacja;communication;komunikacja;Good communication is important in relationships.;Dobra komunikacja jest ważna w relacjach.
B1;Media i komunikacja;conversation;rozmowa;We had a long conversation about the future.;Mieliśmy długą rozmowę o przyszłości.
B1;Media i komunikacja;discussion;dyskusja;There was a discussion about the new rules.;Była dyskusja o nowych zasadach.
B1;Media i komunikacja;debate;debata;The debate between the candidates was on TV.;Debata między kandydatami była w telewizji.
B1;Media i komunikacja;announcement;zapowiedź;The train announcement said it was delayed.;Zapowiedź pociągu mówiła, że ma opóźnienie.
B1;Media i komunikacja;rumour;plotka;There is a rumour about a new shop opening.;Krąży plotka o otwarciu nowego sklepu.
B1;Media i komunikacja;gossip;plotka;She enjoys gossip about celebrities.;Ona lubi plotki o celebrytach.
B1;Media i komunikacja;information;informacja;I need more information about the course.;Potrzebuję więcej informacji o kursie.
B1;Media i komunikacja;opinion;opinia;In my opinion, this film is too long.;Moim zdaniem ten film jest za długi.
B1;Media i komunikacja;argument;argument;They had an argument about money.;Pokłócili się o pieniądze.
B1;Media i komunikacja;advice;rada;My father gave me good advice.;Mój ojciec dał mi dobrą radę.
B1;Media i komunikacja;warning;ostrzeżenie;There was a warning about the storm on TV.;W telewizji było ostrzeżenie o burzy.
B1;Media i komunikacja;fake news;fałszywe wiadomości;Fake news spreads quickly on the internet.;Fałszywe wiadomości szybko rozprzestrzeniają się w internecie.
B1;Media i komunikacja;headline news;wiadomości dnia;The headline news was about the election results.;Wiadomości dnia dotyczyły wyników wyborów.
B1;Media i komunikacja;press release;komunikat prasowy;The company issued a press release yesterday.;Firma wydała komunikat prasowy wczoraj.
B1;Media i komunikacja;review;recenzja;I wrote a review of the new restaurant.;Napisałem recenzję nowej restauracji.
B1;Media i komunikacja;columnist;felietonista;The columnist writes for a popular newspaper.;Felietonista pisze dla popularnej gazety.
B1;Media i komunikacja;correspondent;korespondent;The war correspondent sent a report from the front.;Korespondent wojenny wysłał relację z frontu.
B1;Media i komunikacja;coverage;relacja;The TV coverage of the match was excellent.;Relacja telewizyjna z meczu była znakomita.
B1;Media i komunikacja;audience;publiczność;The audience clapped loudly after the speech.;Publiczność głośno biła brawo po przemówieniu.
B1;Zdrowie i styl życia;health;zdrowie;Good health is the most valuable thing we can have.;Zdrowie jest najcenniejszą rzeczą, jaką możemy mieć.
B1;Zdrowie i styl życia;illness;choroba;She stayed at home because of a sudden illness.;Została w domu z powodu nagłej choroby.
B1;Zdrowie i styl życia;disease;choroba;Diabetes is a common disease nowadays.;Cukrzyca jest dziś powszechną chorobą.
B1;Zdrowie i styl życia;infection;infekcja;The doctor gave me antibiotics for the throat infection.;Lekarz przepisał mi antybiotyk na infekcję gardła.
B1;Zdrowie i styl życia;virus;wirus;The virus spreads quickly among children.;Wirus szybko rozprzestrzenia się wśród dzieci.
B1;Zdrowie i styl życia;flu;grypa;I got the flu last winter and stayed in bed for a week.;Złapałem grypę zeszłej zimy i leżałem tydzień w łóżku.
B1;Zdrowie i styl życia;cold;przeziębienie;He has a bad cold and cannot go to work.;On ma silne przeziębienie i nie może iść do pracy.
B1;Zdrowie i styl życia;fever;gorączka;The child has a high fever and needs rest.;Dziecko ma wysoką gorączkę i potrzebuje odpoczynku.
B1;Zdrowie i styl życia;cough;kaszel;His cough got worse during the night.;Jego kaszel nasilił się w nocy.
B1;Zdrowie i styl życia;sneeze;kichanie;She tried to stop a loud sneeze during the meeting.;Próbowała powstrzymać głośne kichnięcie podczas spotkania.
B1;Zdrowie i styl życia;headache;ból głowy;I had a terrible headache after a long day at work.;Miałem straszny ból głowy po długim dniu w pracy.
B1;Zdrowie i styl życia;stomachache;ból brzucha;He couldn’t eat dinner because of a stomachache.;Nie mógł zjeść obiadu z powodu bólu brzucha.
B1;Zdrowie i styl życia;toothache;ból zęba;She went to the dentist because of a toothache.;Poszła do dentysty z powodu bólu zęba.
B1;Zdrowie i styl życia;backache;ból pleców;A long flight gave him a terrible backache.;Długi lot spowodował u niego okropny ból pleców.
B1;Zdrowie i styl życia;pain;ból;The pain in her leg was getting stronger.;Ból w jej nodze stawał się coraz silniejszy.
B1;Zdrowie i styl życia;injury;kontuzja;He suffered a knee injury while playing football.;Doznał kontuzji kolana podczas gry w piłkę.
B1;Zdrowie i styl życia;wound;rana;The wound healed slowly but without problems.;Rana goiła się powoli, ale bez problemów.
B1;Zdrowie i styl życia;bruise;siniak;She had a big bruise after falling off the bike.;Miała dużego siniaka po upadku z roweru.
B1;Zdrowie i styl życia;burn;oparzenie;He got a burn while cooking dinner.;Oparzył się podczas gotowania obiadu.
B1;Zdrowie i styl życia;cut;skaleczenie;I got a small cut on my finger while chopping vegetables.;Zrobiłem sobie małe skaleczenie na palcu podczas krojenia warzyw.
B1;Zdrowie i styl życia;doctor;lekarz;The doctor examined the patient carefully.;Lekarz dokładnie zbadał pacjenta.
B1;Zdrowie i styl życia;nurse;pielęgniarka;The nurse gave him the right medicine.;Pielęgniarka podała mu odpowiednie lekarstwo.
B1;Zdrowie i styl życia;dentist;dentysta;The dentist told me I need to brush my teeth better.;Dentysta powiedział mi, że muszę lepiej myć zęby.
B1;Zdrowie i styl życia;surgeon;chirurg;The surgeon performed a difficult operation.;Chirurg przeprowadził trudną operację.
B1;Zdrowie i styl życia;hospital;szpital;She stayed in the hospital for three days.;Ona przebywała w szpitalu przez trzy dni.
B1;Zdrowie i styl życia;clinic;przychodnia;He went to the clinic for a regular check-up.;Poszedł do przychodni na rutynowe badanie.
B1;Zdrowie i styl życia;pharmacy;apteka;I bought some vitamins at the pharmacy.;Kupiłem witaminy w aptece.
B1;Zdrowie i styl życia;medicine;lekarstwo;This medicine will help you feel better.;To lekarstwo pomoże ci poczuć się lepiej.
B1;Zdrowie i styl życia;pill;tabletka;She takes a pill every morning after breakfast.;Ona bierze tabletkę każdego ranka po śniadaniu.
B1;Zdrowie i styl życia;injection;zastrzyk;The nurse gave him an injection in the arm.;Pielęgniarka zrobiła mu zastrzyk w ramię.
B1;Zdrowie i styl życia;treatment;leczenie;The treatment will take about two weeks.;Leczenie potrwa około dwóch tygodni.
B1;Zdrowie i styl życia;operation;operacja;The operation was successful and he recovered quickly.;Operacja zakończyła się sukcesem i szybko doszedł do siebie.
B1;Zdrowie i styl życia;first aid;pierwsza pomoc;She learned first aid at school.;Nauczyła się pierwszej pomocy w szkole.
B1;Zdrowie i styl życia;ambulance;karetka;The ambulance arrived in five minutes.;Karetka przyjechała w pięć minut.
B1;Zdrowie i styl życia;emergency;nagły wypadek;They had to leave because of an emergency.;Musieli wyjść z powodu nagłego wypadku.
B1;Zdrowie i styl życia;recovery;powrót do zdrowia;His recovery took longer than expected.;Jego powrót do zdrowia trwał dłużej niż oczekiwano.
B1;Zdrowie i styl życia;diet;dieta;She started a diet to lose some weight.;Zaczęła dietę, żeby trochę schudnąć.
B1;Zdrowie i styl życia;exercise;ćwiczenie;Regular exercise is good for your heart.;Regularne ćwiczenia są dobre dla serca.
B1;Zdrowie i styl życia;workout;trening;He does a short workout every morning.;On robi krótki trening każdego ranka.
B1;Zdrowie i styl życia;fitness;kondycja;Swimming is a great way to improve fitness.;Pływanie to świetny sposób na poprawę kondycji.
B1;Zdrowie i styl życia;healthy food;zdrowa żywność;They try to eat only healthy food.;Oni starają się jeść tylko zdrową żywność.
B1;Zdrowie i styl życia;junk food;śmieciowe jedzenie;Children often prefer junk food to vegetables.;Dzieci często wolą śmieciowe jedzenie od warzyw.
B1;Zdrowie i styl życia;vegetarian;wegetarianin;My friend is a vegetarian and doesn’t eat meat.;Mój przyjaciel jest wegetarianinem i nie je mięsa.
B1;Zdrowie i styl życia;vegan;weganin;She became vegan two years ago.;Ona została weganką dwa lata temu.
B1;Zdrowie i styl życia;stress;stres;He felt a lot of stress before the exam.;On czuł duży stres przed egzaminem.
B1;Zdrowie i styl życia;depression;depresja;Depression is a serious mental illness.;Depresja to poważna choroba psychiczna.
B1;Zdrowie i styl życia;mental health;zdrowie psychiczne;Talking to friends helps my mental health.;Rozmowa z przyjaciółmi pomaga mojemu zdrowiu psychicznemu.
B1;Zdrowie i styl życia;relaxation;relaks;Reading a book is a form of relaxation for her.;Czytanie książki to dla niej forma relaksu.
B1;Zdrowie i styl życia;sleep;sen;Eight hours of sleep is important for health.;Osiem godzin snu jest ważne dla zdrowia.
B1;Zdrowie i styl życia;rest;odpoczynek;He took a short rest after lunch.;On zrobił sobie krótki odpoczynek po obiedzie.
B1;Zdrowie i styl życia;energy;energia;I don’t have much energy in the morning.;Nie mam dużo energii rano.
B1;Zdrowie i styl życia;strength;siła;The athlete showed great strength during the competition.;Zawodnik pokazał dużą siłę podczas zawodów.
B1;Zdrowie i styl życia;well-being;dobre samopoczucie;Meditation improves my sense of well-being.;Medytacja poprawia moje samopoczucie.
B1;Zdrowie i styl życia;hygiene;higiena;Good hygiene is important in everyday life.;Dobra higiena jest ważna w codziennym życiu.
B1;Zdrowie i styl życia;habit;nawyk;Brushing your teeth twice a day is a good habit.;Mycie zębów dwa razy dziennie to dobry nawyk.
B1;Zdrowie i styl życia;addiction;uzależnienie;Smoking can lead to addiction.;Palenie może prowadzić do uzależnienia.
B1;Zdrowie i styl życia;smoking;palenie;Smoking is not allowed in this building.;Palenie jest zabronione w tym budynku.
B1;Zdrowie i styl życia;alcohol;alkohol;Too much alcohol is bad for your health.;Zbyt dużo alkoholu szkodzi zdrowiu.
B1;Zdrowie i styl życia;drug;narkotyk;The police found illegal drugs in his car.;Policja znalazła nielegalne narkotyki w jego samochodzie.
B1;Zdrowie i styl życia;therapy;terapia;She started therapy to deal with stress.;Rozpoczęła terapię, żeby poradzić sobie ze stresem.
